0x004ddfb0	[C1 2026-05-18] Signature `undefined4 FUN_004ddfb0(uint *dst, uint *src, uint format_flags)`.
0x004de1b0	[C1 2026-05-18] Signature `undefined4 FUN_004de1b0(int dst_image, int src_raster)`.
0x004de390	[C1 2026-05-18] Signature `void FUN_004de390(int dst_image, int *src_raster)`.
0x004de800	[C1 2026-05-18] Signature `void FUN_004de800(int dst_image, int *src_raster)`.
0x004dee20	[C1 2026-05-18] Signature `void FUN_004dee20(undefined1 *dst, undefined4 src)`.
0x004dee40	[C1 2026-05-18] Signature `int FUN_004dee40(int image)`.
0x004df120	[C1 2026-05-18] Signature `undefined4 FUN_004df120(int *dst_raster, int src_image)`.
0x004df750	[C1 2026-05-18] Signature `code *FUN_004df750(undefined4 d3dfmt_id)`.
0x004df870	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df870(byte *bgr)`.
0x004df8a0	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df8a0(byte *bgr)`.
0x004df8d0	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df8d0(byte *bgra)`.
0x004df910	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df910(byte *bgra)`.
0x004df950	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df950(byte *src4)`.
0x004df980	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df980(byte *bgr)`.
0x004df9b0	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df9b0(byte *src)`.
0x004df9e0	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004df9e0(byte *bgr)`.
0x004dfa10	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004dfa10(byte *rgb)`.
0x004dfa40	[C1 2026-05-18] Pure leaf encoder. Signature `undefined4 FUN_004dfa40(undefined1 *bgra)`.
0x004dfa70	[C1 2026-05-18] Pure leaf encoder. Signature `undefined4 FUN_004dfa70(undefined4 *p)`.
0x004dfaa0	[C1 2026-05-18] Pure leaf encoder. Signature `undefined2 FUN_004dfaa0(undefined2 *p)`.
0x004dfab0	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004dfab0(byte *bgra)`.
0x004dfb10	[C1 2026-05-18] Pure leaf encoder. Signature `uint FUN_004dfb10(byte *bgra)`.
0x004dfb60	[C1 2026-05-18] Pure leaf encoder. Signature `int FUN_004dfb60(byte *bgra)`.
0x004dfbc0	[C1 2026-05-18] Signature `void FUN_004dfbc0(int dst_raster, int src_image)`.
0x004e02d0	[C1 2026-05-18] Signature `void FUN_004e02d0(int *dst_raster, int src_image)`.
0x004e1290	[C1 2026-05-18] Pure leaf returning the address of a global vtable/string-pointer pair: `return…
0x004e12a0	[C1 2026-05-18] Pure leaf returning the address of a CSL pipeline-node descriptor: `return…
0x004e12b0	[C1 2026-05-18] Signature `void FUN_004e12b0(int heap, int slot_ptr)`. Operates on a free-list cell where…
0x004e13f0	[C1 2026-05-18] Signature `int FUN_004e13f0(int heap)`.
0x004e14a0	[C1 2026-05-18] Signature `undefined4 FUN_004e14a0(uint *heap, int size_request)`.
0x004e15f0	[C1 2026-05-18] Signature `undefined4 FUN_004e15f0(undefined4 *chunk, int *prev_chunk, undefined4 heap)`.
0x004e1670	[C1 2026-05-18] Signature `int FUN_004e1670(int heap, int *slot, int size_aligned)`.
0x004e1710	[C1 2026-05-18] Signature `undefined4 FUN_004e1710(int heap)`.
0x004e1780	[C1 2026-05-18] Signature `void FUN_004e1780(int heap)`.
0x004e17e0	[C1 2026-05-18] Signature `uint *FUN_004e17e0(uint requested_initial_size)`.
0x004e18f0	[C1 2026-05-18] Signature `undefined4 FUN_004e18f0(int *out_pipeline_ptr)`.
0x004e1960	[C1 2026-05-18] Signature `void FUN_004e1960(int *pipeline_ptr)`.
0x004e1990	[C1 2026-05-18] Signature `void FUN_004e1990(int *pipeline_table)`.
0x004e19f0	[C1 2026-05-18] Signature `undefined4 FUN_004e19f0(int *pipeline_table)`.
0x004e1a90	[C1 2026-05-18] Signature `undefined4 FUN_004e1a90(char *path)`.
0x004e1ac0	[C1 2026-05-18] Signature `undefined4 FUN_004e1ac0(int registry, int plugin_id, undefined4 v3, undefined4 v4…
0x004e1b00	[C1 2026-05-18] Signature `undefined4 FUN_004e1b00(int registry, int plugin_id, undefined4 v6)`.
0x004e1b30	[C1 2026-05-18] Signature `undefined4 FUN_004e1b30(int registry, int plugin_id, undefined4 v7)`.
0x004e1c90	[C1 2026-05-18] Signature `uint FUN_004e1c90(uint registry, int plugin_id, undefined4 arg, undefined4 ctx)`.
0x004e8030	[C1 2026-05-18] Signature `undefined4 FUN_004e8030(int *obj)`.
0x004e8090	[C1 2026-05-18] Signature `int *FUN_004e8090(int *slot, int new_object)`.
0x004e80c0	[C1 2026-05-18] Signature `void FUN_004e80c0(undefined4 a, b, c, d, e)`. Thin wrapper.
0x004e80f0	[C1 2026-05-18] Signature `void FUN_004e80f0(undefined4 plugin_id, v3, v4, v5)`. Thin wrapper.
0x004e8120	[C1 2026-05-18] Signature `int *FUN_004e8120(undefined4 stream)`. RpGeometry stream-read entry.
0x004e8400	[C1 2026-05-18] Signature `int FUN_004e8400(int *obj)`. Stream-write-size calc.
0x004e8440	[C1 2026-05-18] Signature `uint FUN_004e8440(int *geom, undefined4 stream)`. RpGeometry stream-write entry.
0x004e8640	[C1 2026-05-18] Signature `int *FUN_004e8640(int *morph_target, float *out_sphere)`.
0x004e8750	[C1 2026-05-18] Signature `int FUN_004e8750(int geom, int extra_count)`. Morph-target-array grow.
0x004e8910	[C1 2026-05-18] Signature `undefined4 FUN_004e8910(undefined4 param_1, undefined2 *vtx, undefined2 a, b, c)`.
0x004e8940	[C1 2026-05-18] Signature `int FUN_004e8940(int geom, int tri_record, int material)`.
0x004e89a0	[C1 2026-05-18] Signature `int FUN_004e89a0(int container, code *callback, undefined4 ctx)`.
0x004e89e0	[C1 2026-05-18] Signature `int FUN_004e89e0(int geom, ushort flags)`.
0x004e8a10	[C1 2026-05-18] Signature `int FUN_004e8a10(int geom)`. Builds the mesh-list for a geometry from its…
0x004e8c70	[C1 2026-05-18] Signature `undefined1 *FUN_004e8c70(int numVerts, int numTriangles, uint format_flags)`.
0x004e8f50	[C1 2026-05-18] Signature `void FUN_004e8f50(a, b, c, d, e)`.
0x004e8f80	[C1 2026-05-18] Signature `void FUN_004e8f80(plugin_id, v3, v4, v5)`.
0x004e8fb0	[C1 2026-05-18] Signature `void FUN_004e8fb0(plugin_id, v6)`.
