va	file_off	section	encoding	length	text
0x005ce78c	0x1ce78c	.rdata	ascii	36	SOUND CARD - useSoftware flag = %d 

0x005ce7b4	0x1ce7b4	.rdata	ascii	28	SOUND CARD - MAX voices %d 

0x005ce7d4	0x1ce7d4	.rdata	ascii	16	loading courseG

0x005ce7e8	0x1ce7e8	.rdata	ascii	16	loading courseF

0x005ce7fc	0x1ce7fc	.rdata	ascii	16	loading courseE

0x005ce810	0x1ce810	.rdata	ascii	17	loading courseDB

0x005ce824	0x1ce824	.rdata	ascii	17	loading courseDA

0x005ce838	0x1ce838	.rdata	ascii	16	loading courseD

0x005ce84c	0x1ce84c	.rdata	ascii	16	loading courseC

