frame	t_ms	dik_csv	names_csv
1	2		(none)
118	1952	0x1c	ENTER
124	2051		(none)
366	6085	0x1c	ENTER
373	6202		(none)
431	7168	0x1c	ENTER
438	7285		(none)
483	8035	0xd0	DOWN
488	8118		(none)
497	8268	0xd0	DOWN
503	8369		(none)
514	8551	0x1c	ENTER
519	8635		(none)
574	9552	0x1c	ENTER
580	9652		(none)
634	10551	0xd0	DOWN
641	10669		(none)
647	10768	0xd0	DOWN
655	10902		(none)
676	11251	0x1c	ENTER
682	11352		(none)
873	14557	0x1c	ENTER
880	14674		(none)
981	16356	0xc8	UP
1014	16907		(none)
1040	17341	0x20	D
1060	17674	0x20,0x21	D,0x21
1061	17690	0x21	0x21
1089	18157		(none)
1095	18258	0x1f	S
1169	19490	0x1f,0xcb	S,LEFT
1173	19557	0x1f	S
1207	20125	0x1f,0xcd	S,RIGHT
1212	20208	0x1f	S
1233	20558	0x1f,0xcb	S,LEFT
1242	20708	0x1f	S
1373	22891	0x1f,0xcb	S,LEFT
1387	23125	0x1f	S
1421	23691	0x1f,0xcb	S,LEFT
1427	23791	0x1f	S
1456	24274	0x1f,0xcd	S,RIGHT
1461	24358	0x1f	S
1535	25591	0x1f,0xcb	S,LEFT
1543	25724	0x1f	S
1574	26241	0x1f,0xcd	S,RIGHT
1578	26309	0x1f	S
1609	26824	0x1f,0xcb	S,LEFT
1611	26857	0x1f	S
1630	27174	0x1f,0xcb	S,LEFT
1645	27425	0x1f	S
1656	27607	0x1f,0xcb	S,LEFT
1667	27791	0x1f	S
1680	28007	0x1f,0xcd	S,RIGHT
1697	28291	0x1f	S
1723	28724	0x1f,0xcd	S,RIGHT
1733	28891	0x1f	S
1748	29141	0x1f,0xcd	S,RIGHT
1755	29258	0x1f	S
1772	29540	0x1f,0xcd	S,RIGHT
1781	29691	0x1f	S
1794	29908	0x1f,0xcb	S,LEFT
1803	30057	0x1f	S
1817	30291	0x1f,0xcb	S,LEFT
1819	30325	0x1f	S
2034	33908	0x1f,0xcb	S,LEFT
2039	33991	0x1f	S
2054	34241	0x1f,0xcb	S,LEFT
2060	34341	0x1f	S
2104	35074	0x1f,0xcb	S,LEFT
2108	35141	0x1f	S
2145	35757	0x1f,0xcb	S,LEFT
2148	35808	0x1f	S
2165	36091	0x1f,0xcb	S,LEFT
2170	36174	0x1f	S
2210	36841	0x1f,0xcb	S,LEFT
2214	36908	0x1f	S
2234	37241	0x1f,0xcb	S,LEFT
2240	37341	0x1f	S
2397	39958	0x1f,0xcb	S,LEFT
2410	40175	0x1f	S
2429	40491	0x1f,0xcd	S,RIGHT
2438	40641	0x1f	S
2494	41574	0x1f,0xcd	S,RIGHT
2501	41691	0x1f	S
2562	42708	0x1f,0xcd	S,RIGHT
2565	42758	0x1f	S
2587	43125	0x1f,0xcd	S,RIGHT
2592	43208	0x1f	S
2631	43858	0x1f,0xcb	S,LEFT
2634	43908	0x1f	S
2674	44575	0x1f,0xcb	S,LEFT
2682	44708	0x1f	S
2689	44824	0x1f,0xcb	S,LEFT
2696	44941	0x1f	S
2707	45124	0x1f,0xcb	S,LEFT
2710	45175	0x1f	S
2730	45508	0x1f,0xcd	S,RIGHT
2736	45608	0x1f	S
2775	46258	0x1f,0xcb	S,LEFT
2778	46308	0x1f	S
2807	46791	0x1f,0xcb	S,LEFT
2809	46824	0x1f	S
2865	47758		(none)
3030	50507	0x1c	ENTER
3037	50630		(none)
3114	51914	0x1c	ENTER
3119	51997		(none)
3175	52931	0x01	ESC
3181	53031		(none)
3225	53763	0xd0	DOWN
3230	53848		(none)
3236	53947	0xd0	DOWN
3241	54031		(none)
3246	54114	0xd0	DOWN
3252	54215		(none)
3263	54397	0x1c	ENTER
3268	54481		(none)
3292	54881	0x1c	ENTER
